embedding_id,mainaccord1,all_notes
6646,musky,"['lavender', 'martini', 'bergamot', 'mandarin orange', 'palisander rosewood', 'patchouli', 'orchid', 'narcissus', 'musk', 'woodsy notes', 'cedar', 'white amber']"
10291,tuberose,"['pink pepper', 'cloves', 'mandarin orange', 'tuberose', 'mango', 'ylang-ylang', 'rose', 'angelica', 'precious woods', 'resins', 'musk']"
13198,tuberose,"['coconut milk', 'sand', 'tuberose', 'ylang ylang', 'vanilla', 'amber']"
7368,smoky,"['citruses', 'incense', 'rose', 'sandalwood', 'leather', 'vanilla', 'musk']"
9999,lactonic,"['wheat', 'milk', 'licorice', 'coconut', 'immortelle', 'sandalwood', 'apricot', 'spices', 'woody notes', 'osmanthus', 'amber']"
10933,soft spicy,"['anise', 'bergamot', 'licorice', 'iris', 'tonka bean', 'vanilla', 'praline', 'musk', 'patchouli']"
10945,rose,"['floral notes', 'rose', 'coffee', 'vanila', 'white musk', 'amber']"
692,mossy,"['saffron', 'amber', 'moss']"
1526,yellow floral,"['white peach', 'sicilian mandarin', 'ylang-ylang', 'jasmine', 'benzoin', 'cedar']"
9124,cacao,"['wormwood', 'pink pepper', 'grapefruit', 'tuberose', 'champaca', 'cacao', 'patchouli', 'amber', 'tonka bean', 'vanille']"
9672,white floral,"['lavender', 'mandarin orange', 'black currant', 'petitgrain', 'lavender', 'orange blossom', 'jasmine', 'madagascar vanilla', 'musk', 'cedar', 'ambergris']"
17498,anis,"['mandarin orange', 'neroli', 'bergamot', 'star anise', 'olive blossom', 'tarragon', 'tonka bean', 'tobacco', 'guaiac wood', 'cedar']"
1292,rose,"['green notes', 'geranium', 'rose', 'virginia cedar', 'patchouli']"
2412,white floral,"['neroli', 'orange blossom', 'grapefruit', 'jasmine', 'rose', 'tuberose', 'musk', 'sandalwood', 'orris root', 'amber', 'vanilla']"
12274,citrus,"['fruity notes', 'yuzu', 'amalfi lemon', 'jasmine', 'african orange flower', 'lotus', 'vanille', 'sandalwood', 'patchouli', 'virginia cedar']"
20354,woody,"['pineapple', 'grapefruit', 'bergamot', 'cedar', 'patchouli', 'jasmine', 'oakmoss', 'woody notes']"
14733,floral,"['sicilian mandarin', 'pink peony', 'damask rose', 'apricot', 'peach', 'white musk']"
21017,sweet,"['almond', 'spices', 'lavender', 'bergamot', 'thyme', 'rosemary', 'cherry', 'vanilla', 'incense', 'bulgarian rose', 'leather', 'tonka bean', 'sandalwood']"
21182,vanilla,"['pear', 'lavender', 'mint', 'bergamot', 'lemon', 'cinnamon', 'clary sage', 'caraway', 'black vanilla husk', 'amber', 'patchouli', 'cedar']"
17248,fresh spicy,"['tea', 'artemisia', 'bergamot', 'orange blossom', 'bitter orange', 'pepper', 'cardamom', 'coriander', 'musk', 'woody notes', 'jasmine', 'amber', 'rose']"
21088,nutty,"['hazelnut', 'bergamot', 'cannabis', 'lemon', 'cacao', 'walnut', 'cinnamon', 'caramel', 'tobacco', 'pimento', 'rum', 'brazil nut', 'vanilla pod', 'macadamia', 'benzoin', 'cashew', 'peru balsam', 'myrrh', 'woody notes', 'labdanum', 'leather']"
17643,cherry,"['cherry', 'saffron', 'black pepper', 'black leather', 'violet', 'jasmine', 'tonka bean', 'palo santo', 'patchouli', 'heliotrope']"
9310,herbal,"['pepperwood or hercules club', 'nard himalayan (jatamansi)', 'ylang-ylang']"
6836,musky,"['pear', 'ambrette (musk mallow)', 'rose', 'iris', 'musk', 'virginia cedar']"
3102,coca-cola,"['coca-cola', 'lime', 'nutmeg', 'cinnamon', 'cedar', 'vanilla']"
17984,coffee,"['mandarin orange', 'bergamot', 'coffee', 'pink pepper', 'amyris', 'tonka bean', 'patchouli', 'vetyver', 'french labdanum']"
20702,aromatic,"['apple', 'ginger', 'bergamot', 'sage', 'juniper berries', 'geranium', 'amberwood', 'tonka bean', 'cedar', 'vetiver', 'olibanum']"
14514,aromatic,"['lavender', 'sage', 'mandarin orange', 'tobacco', 'rose', 'carnation', 'geranium', 'tonka bean', 'fir', 'vetiver', 'cedar']"
