anchor,positive
"It smells like the inside of an old wooden church mixed with black licorice and worn leather boots, with something sharp and peppery cutting through the smoky air.","incense, black pepper, olibanum, birch, licorice, leather, pepperwood or hercules club, cedar, vetiver"
"It smells like sharp grass and rose petals at first, then settles into earthy wood, cigarette-sweetened tobacco, and soft vanilla.","green notes, bulgarian rose, saffron, patchouli, cedar, tobacco, musk, vanilla"
"It smells like soapy white flowers and sweet fruit at first, then settles into powdery rose with a warm, slightly mossy base.","aldehydes, green notes, honeysuckle, bergamot, peach, lemon, rose, iris, geranium, ylang-ylang, lily-of-the-valley, jasmine, magnolia, gardenia, oakmoss, tahitian vetiver, musk, sandalwood, tonka bean, amber"
"It smells like lavender and citrus peel over creamy coffee, with sweet vanilla and dry cedarwood underneath.","lavender, citruses, cappuccino, cedar, vanilla"
"It smells like a leather jacket draped over a park bench after rain, with sweet spice lingering in the air and something mossy clinging to the worn fabric.","grass, bergamot, grapefruit, woodsy notes, nutmeg, violet, saffron, jasmine, sugar, leather, vanilla, suede, amber, cashmirwood, sandalwood, oakmoss, vetiver"
"It smells like fresh citrus and herbs at first, then soft flowers and wood, finishing with a warm, slightly sweet powder.","lemon, bergamot, neroli, rose de mai, hyacinth, cedar, clary sage, geranium, tonka bean, musk, amber"
"It smells like fresh citrus peel and powdered rose petals, then creamy white flowers with an earthy, slightly musty undertone.","italian mandarin, rose, egyptian jasmine, patchouli, musk"
"It smells like standing in a Japanese bathhouse at dawn — clean stone tiles still cool from the night, faint wisps of steam carrying woody cypress, and the pale sweetness of flowers just beginning to open outside.","mineral notes, pink pepper, lotus, syringa, hinoki wood, white amber"
"It smells like citrus peel and salty ocean air at first, then white flowers and peach, settling into soft musk and weathered wood.","lime, lemon, bergamot, jasmine, orange, mandarin orange, neroli, sea notes, jasmine, calone, rosemary, peach, freesia, hiacynth, cyclamen, violet, coriander, rose, nutmeg, mignonette, white musk, cedar, oakmoss, patchouli, amber"
"It smells like a campfire at a botanical garden — medicinal eucalyptus smoke mixed with the honeyed sweetness of yellow mimosa flowers, finishing with black licorice and pencil-case wood.","smoke, camphor, mimosa, anise, cedar, ambrette (musk mallow), juniper"
"It smells like creamy coconut and vanilla with bright citrus on top, then a powdery almond-like sweetness and soft white flowers.","coconut water, bergamot, jasmine, heliotrope, bourbon vanilla, cashmeran"
"It smells like a worn leather jacket hanging in a closet next to burning church incense, with hints of violet potpourri and sweet resin tucked into the pockets.","animal notes, woody notes, violet, leather, incense, cade oil, labdanum, cedar, patchouli, vanilla"
"It smells like warm spices and citrus peel at first, then creamy florals with a rich, woody-sweet base of amber and vanilla.","saffron, ginger, sicilian mandarin, sicilian bergamot, amberwood, moroccan rose, egyptian jasmine, indonesian patchouli leaf, madagascar vanilla, white musk, sandalwood, oakmoss"
"It smells like strong coffee and toasted hazelnuts at first, then white flowers emerge with a creamy vanilla sweetness and warm, slightly powdery musk underneath.","neroli, pink pepper, bergamot, coffee, rose, hazelnut, orange blossom, jasmine, vanilla, amberwood, ambroxan, musk"
"It smells like sweet powder and creamy vanilla with tart berries, white flowers blooming underneath, and a warm, slightly earthy base.","black currant, pear, iris, jasmine, orange blossom, praline, vanilla, patchouli, tonka bean"
"It smells like lavender soap and powdered iris at first, then creamy vanilla and rose, with a sweet licorice-like warmth and soft, woody undertones.","lavender, bergamot, iris, jasmine sambac, rose, tahitian vanilla, coumarin, australian sandalwood, licorice, benzoin, patchouli"
"It smells like gin spilled on a wooden desk in a library — sharp citrus and herbs giving way to dusty paper, pencil wood, and something quietly spicy lingering in the air.","bergamot, juniper, coriander, iris, cardamom, pepper, amber, cedar, vetiver"
"It smells like fresh-cut pear and mandarin at first, then powdery iris and soft roses, finishing with clean musk and pale sandalwood.","wasabi, violet leaf, mandarin orange, pear, pebbles, hedione, orris root, peony, rose, vetiver, white musk, incense, sandalwood"
"It smells like bitter herbs and citrus peel at first, then creamy honey with soft flowers, finishing with worn leather and earthy moss.","artemisia, basil, tangerine, bergamot, amalfi lemon, white honey, rose, jasmine, peach, pepper, civetta, oak moss, leather, patchouli, woodsy notes, virginia cedar"
"It smells like the wooden bar of an old-fashioned cocktail lounge — polished oak mingling with spilled brandy, brown sugar syrup, and lingering cigar box sweetness.","cognac, cinnamon, tonka bean, oak, vanilla, praline, sandalwood"
"It smells like wet tree bark after rain, with a hint of crushed berries and the slightly metallic scent of a cold stream running through wild heather.","oakmoss, water notes, water pepper, heather, violet, beech, blackberry, water notes, portulaca or pigweed"
"It smells like a bowl of sweetened cereal with coconut milk poured over it, sitting next to a just-cut fig on a summer morning.","coconut, fig, vanilla flower, coconut, milk, wheat, sugar, coconut milk, fig leaf, vanilla"
