embedding_id,all_notes,mainaccord1,target_description
10291,"['pink pepper', 'cloves', 'mandarin orange', 'tuberose', 'mango', 'ylang-ylang', 'rose', 'angelica', 'precious woods', 'resins', 'musk']",tuberose,"It smells like a florist's cooler filled with tropical flowers and overripe fruit, with someone grinding peppercorns nearby and incense burning in the back room."
13198,"['coconut milk', 'sand', 'tuberose', 'ylang ylang', 'vanilla', 'amber']",tuberose,"It smells like sunscreen drying on hot skin after lying on a beach towel, with sweet tropical flowers blooming nearby and a faint incense stick burning at sunset."
9999,"['wheat', 'milk', 'licorice', 'coconut', 'immortelle', 'sandalwood', 'apricot', 'spices', 'woody notes', 'osmanthus', 'amber']",lactonic,"It smells like a bakery in late summer — almond pastries cooling on the counter, apricot jam warming on the stove, and a faint trace of black licorice from the candy jar nearby."
10933,"['anise', 'bergamot', 'licorice', 'iris', 'tonka bean', 'vanilla', 'praline', 'musk', 'patchouli']",soft spicy,"It smells like black jelly beans dusted with powdered sugar, sitting next to a worn leather jacket that's been stored in someone's grandmother's linen closet."
692,"['saffron', 'amber', 'moss']",mossy,"It smells like a spice cabinet left open in an old library — dry saffron threads meet dusty golden resin, all softened by the green smell of stones after rain."
9124,"['wormwood', 'pink pepper', 'grapefruit', 'tuberose', 'champaca', 'cacao', 'patchouli', 'amber', 'tonka bean', 'vanille']",cacao,"It smells like dark chocolate dusted with bitter herbs and citrus zest, then softened by creamy flowers that leave a sweet, slightly earthy warmth on your clothes."
1292,"['green notes', 'geranium', 'rose', 'virginia cedar', 'patchouli']",rose,"It smells like a greenhouse in early spring — wet stems and potting soil mixed with geranium leaves crushed between your fingers, and roses just past their peak."
12274,"['fruity notes', 'yuzu', 'amalfi lemon', 'jasmine', 'african orange flower', 'lotus', 'vanille', 'sandalwood', 'patchouli', 'virginia cedar']",citrus,"It smells like a citrus grove at sunrise — sticky orange blossoms overhead, sweet fruit on the ground, with weathered wooden crates stacked nearby."
20354,"['pineapple', 'grapefruit', 'bergamot', 'cedar', 'patchouli', 'jasmine', 'oakmoss', 'woody notes']",woody,It smells like a hardware store's lumber section mixed with overripe tropical fruit sitting on a mossy log.
21182,"['pear', 'lavender', 'mint', 'bergamot', 'lemon', 'cinnamon', 'clary sage', 'caraway', 'black vanilla husk', 'amber', 'patchouli', 'cedar']",vanilla,"It smells like a herb garden after rain meeting a spice cabinet, with something dark and resinous lurking in the background like old wooden drawers lined with vanilla-stained paper."
17643,"['cherry', 'saffron', 'black pepper', 'black leather', 'violet', 'jasmine', 'tonka bean', 'palo santo', 'patchouli', 'heliotrope']",cherry,"It smells like cherry cough syrup mixed with worn leather gloves, spiced with something sharp and peppery, then softened by powdery florals and sweet wood smoke."
9310,"['pepperwood or hercules club', 'nard himalayan (jatamansi)', 'ylang-ylang']",herbal,It smells like a Buddhist temple at dusk — jasmine incense mixing with old wooden prayer beads and something faintly medicinal from the mountains.
6836,"['pear', 'ambrette (musk mallow)', 'rose', 'iris', 'musk', 'virginia cedar']",musky,"It smells like a wooden drawer full of dried petals someone left a ripe pear next to, soft and powdery with an almost soapy sweetness."
3102,"['coca-cola', 'lime', 'nutmeg', 'cinnamon', 'cedar', 'vanilla']",coca-cola,"It smells like spiced cola with a twist of lime, like someone stirred cinnamon sticks and nutmeg into a glass of soda, then set it down on a cedar picnic table."
17984,"['mandarin orange', 'bergamot', 'coffee', 'pink pepper', 'amyris', 'tonka bean', 'patchouli', 'vetyver', 'french labdanum']",coffee,"It smells like spiced coffee grounds left on a wooden counter next to citrus peels, with something sweet and resinous clinging to the bottom of the cup."
14514,"['lavender', 'sage', 'mandarin orange', 'tobacco', 'rose', 'carnation', 'geranium', 'tonka bean', 'fir', 'vetiver', 'cedar']",aromatic,"It smells like a barbershop tucked inside a greenhouse, where herbal tea steeps beside old wooden furniture and dried flower arrangements."
12268,"['pink pepper', 'african orange flower', 'vanille', 'benzoin', 'tonka bean']",vanilla,"It smells like spiced vanilla cake cooling on a windowsill near orange blossoms, with a subtle peppery tingle that keeps it from being too sweet."
14756,"['lemon', 'clover', 'mint', 'green tea', 'lily-of-the-valley', 'cyclamen']",green,"It smells like standing in a garden right after someone's watered the plants, with white flowers blooming next to herb pots and something citrusy crushed underfoot."
1405,"['hazelnut', 'milk', 'sugar', 'cacao', 'floral notes', 'vanilla']",cacao,It smells like the inside of a chocolate shop where they're making pralines — sweet roasted nuts mixed with warm milk chocolate and a hint of flowers from the wrapped candies nearby.
13448,"['violet', 'carnation', 'raspberry', 'peach', 'coriander', 'orange blossom', 'sichuan pepper', 'bergamot', 'iris', 'bulgarian rose', 'heliotrope', 'orris root', 'egyptian jasmine', 'lily-of-the-valley', 'musk', 'green tea', 'woody notes', 'sandalwood', 'vanilla', 'amber', 'benzoin', 'styrax', 'cedar']",powdery,"It smells like a powdered makeup compact sitting next to a bowl of overripe peaches in a florist's back room, with incense smoke drifting through."
825,"['saffron', 'mandarin orange', 'mineral notes', 'violet', 'akigalawood', 'osmanthus', 'woody notes', 'leather', 'vetiver']",mineral,"It smells like crushed apricots mixed with wet stone, then something purple and powdery, before drying into old leather briefcases and tree bark."
3708,"['champagne', 'pink pepper', 'orange', 'artemisia', 'rose', 'orange blossom', 'patchouli', 'musk', 'sandalwood']",herbal,"It smells like a fizzy mimosa spilled on a bouquet at a garden party, where the flowers are just starting to wilt in afternoon heat."
11482,"['lavender', 'pear', 'bergamot', 'whipped cream', 'coconut', 'praline', 'vanilla orchid', 'musk', 'woody notes']",sweet,"It smells like a lavender dessert cart at a beachside café — sweet pear tart with coconut whipped cream, cut through by aromatic herbs and finished with sandalwood tables."
3541,"['melon', 'white tea', 'arum lily', 'spun sugar', 'tahitian vanilla']",ozonic,"It smells like the inside of a high-end spa mixed with cotton candy — clean and soft at first, then surprisingly sweet, like vanilla ice cream melting over honeydew."
