all_notes,mainaccord1,embedding_id
"['lavender', 'martini', 'bergamot', 'mandarin orange', 'palisander rosewood', 'patchouli', 'orchid', 'narcissus', 'musk', 'woodsy notes', 'cedar', 'white amber']",musky,6646
"['citruses', 'incense', 'rose', 'sandalwood', 'leather', 'vanilla', 'musk']",smoky,7368
"['floral notes', 'rose', 'coffee', 'vanila', 'white musk', 'amber']",rose,10945
"['white peach', 'sicilian mandarin', 'ylang-ylang', 'jasmine', 'benzoin', 'cedar']",yellow floral,1526
"['lavender', 'mandarin orange', 'black currant', 'petitgrain', 'lavender', 'orange blossom', 'jasmine', 'madagascar vanilla', 'musk', 'cedar', 'ambergris']",white floral,9672
"['mandarin orange', 'neroli', 'bergamot', 'star anise', 'olive blossom', 'tarragon', 'tonka bean', 'tobacco', 'guaiac wood', 'cedar']",anis,17498
"['neroli', 'orange blossom', 'grapefruit', 'jasmine', 'rose', 'tuberose', 'musk', 'sandalwood', 'orris root', 'amber', 'vanilla']",white floral,2412
"['sicilian mandarin', 'pink peony', 'damask rose', 'apricot', 'peach', 'white musk']",floral,14733
"['almond', 'spices', 'lavender', 'bergamot', 'thyme', 'rosemary', 'cherry', 'vanilla', 'incense', 'bulgarian rose', 'leather', 'tonka bean', 'sandalwood']",sweet,21017
"['tea', 'artemisia', 'bergamot', 'orange blossom', 'bitter orange', 'pepper', 'cardamom', 'coriander', 'musk', 'woody notes', 'jasmine', 'amber', 'rose']",fresh spicy,17248
"['hazelnut', 'bergamot', 'cannabis', 'lemon', 'cacao', 'walnut', 'cinnamon', 'caramel', 'tobacco', 'pimento', 'rum', 'brazil nut', 'vanilla pod', 'macadamia', 'benzoin', 'cashew', 'peru balsam', 'myrrh', 'woody notes', 'labdanum', 'leather']",nutty,21088
"['apple', 'ginger', 'bergamot', 'sage', 'juniper berries', 'geranium', 'amberwood', 'tonka bean', 'cedar', 'vetiver', 'olibanum']",aromatic,20702
"['tincture of rose', 'freesia', 'litchi', 'raspberry', 'lily-of-the-valley', 'jasmine', 'lilac', 'peony', 'lily', 'musk', 'patchouli']",white floral,5235
"['citruses', 'bergamot', 'lemon', 'cedar', 'mandarin orange', 'iris', 'patchouli', 'vetiver', 'jasmine', 'rose', 'vanilla', 'incense', 'leather', 'opoponax', 'civet', 'sandalwood', 'tonka bean', 'musk']",citrus,11774
"['agarwood (oud)', 'aldehydes', 'bergamot', 'amber', 'rose', 'civetta', 'leather', 'patchouli', 'musk']",animalic,9039
"['peach', 'rose', 'apricot blossom', 'lilac', 'pineapple', 'lily-of-the-valley', 'bergamot', 'rose', 'iris', 'heliotrope', 'jasmine', 'peach', 'apricot', 'vanilla', 'sandalwood', 'amber', 'musk']",fruity,2512
"['lotus', 'melon', 'freesia', 'rose water', 'rose', 'calone', 'cyclamen', 'lily-of-the-valley', 'lily', 'water peony', 'carnation', 'musk', 'tuberose', 'exotic woods', 'osmanthus', 'cedar', 'sandalwood', 'amber']",floral,5749
"['cinnamon', 'mandarin orange', 'lavender', 'lemon', 'fruity notes', 'incense', 'cumin', 'red cedar', 'tobacco', 'vanilla', 'cedar', 'leather', 'benzoin', 'iso e super', 'cypress', 'patchouli']",warm spicy,19156
"['lavender', 'bergamot', 'mint', 'clove', 'lily-of-the-valley', 'cinnamon', 'amber', 'patchouli', 'myrhh']",lavender,2797
"['magnolia', 'calabrian bergamot', 'orange blossom', 'green almond', 'vanilla']",almond,11467
"['aldehydes', 'rose', 'orange blossom', 'hawthorn', 'musk', 'sandalwood']",aldehydic,7000
"['palm leaf', 'gardenia', 'coconut', 'sea salt', 'vanilla', 'sandalwood', 'virginia cedar', 'benzoin']",coconut,3609
"['white lily', 'hiacynth', 'honeysuckle', 'galbanum', 'orange blossom', 'lavender', 'bergamot', 'black currant', 'lemon', 'lily', 'lily-of-the-valley', 'moroccan jasmine', 'carnation', 'honeysuckle', 'tuberose', 'ylang-ylang', 'iris', 'rose', 'orris root', 'oakmoss', 'incense', 'musk', 'leather', 'sandalwood', 'vetiver', 'cedar', 'patchouli', 'amber']",white floral,1140
"['lavender', 'mint', 'fruity', 'spicy notes', 'coriander', 'green notes', 'bergamot', 'caramel', 'patchouli', 'honey', 'milk', 'cedar', 'jasmine', 'lily-of-the-valley', 'coffee', 'patchouli', 'vanilla', 'tonka bean', 'benzoin', 'amber', 'sandalwood', 'musk']",sweet,12503
"['mandarin orange', 'madagascar pepper', 'lemon', 'chinotto', 'rosemary', 'geranium', 'rose', 'pepperwood\x99', 'vanilla', 'tonka bean', 'sandalwood', 'texas cedar', 'patchouli', 'oakmoss']",citrus,19687
"['tobacco', 'cacao', 'vanilla', 'osmanthus', 'benzoin', 'dried fruits', 'kopi luwak coffee', 'almond', 'coffee', 'leather', 'immortelle', 'whiskey', 'black elder', 'jasmine sambac', 'marigold', 'rose', 'castoreum', 'patchouli', 'ambergris', 'civet', 'spices', 'woody notes', 'muskrat', 'hyrax', 'musk', 'propolis']",animalic,21152
"['violet leaf', 'coriander', 'bergamot', 'rose', 'black pepper', 'lily-of-the-valley', 'patchouli', 'ambergris', 'bourbon vanilla']",patchouli,21258
"['watery notes', 'violet', 'melon', 'wildflowers', 'solar notes', 'jasmine', 'orange blossom', 'violet', 'iris', 'white musk']",fresh,7141
"['italian mandarin', 'rose', 'egyptian jasmine', 'patchouli', 'musk']",patchouli,14732
"['bergamot', 'sichuan pepper', 'lavender', 'star anise', 'nutmeg', 'ambroxan', 'vanilla']",fresh spicy,17490
"['thyme', 'rose petals', 'ylang-ylang', 'cumin', 'labdanum', 'sweat', 'animal notes', 'sandalwood']",animalic,5054
"['wheat', 'pear', 'anise', 'clove', 'iris', 'rice', 'hazelnut', 'white musk', 'amber']",nutty,14260
"['bergamot', 'goji berries', 'pomegranate', 'hibiscus', 'water lily', 'musk', 'virginia cedar']",floral,10553
"['aldehydes', 'coriander', 'clary sage', 'artemisia', 'bergamot', 'patchouli', 'carnation', 'geranium', 'vetiver', 'cinnamon', 'jasmine', 'orris root', 'lavender', 'civet', 'honey', 'leather', 'musk', 'oakmoss', 'amber', 'tonka bean', 'vanilla']",musky,2524
"['coconut', 'red apple', 'mandarin orange', 'jasmine', 'freesia', 'magnolia', 'cotton flower', 'sandalwood']",coconut,17159
"['lavender', 'mint', 'vanilla', 'benzoin', 'honey', 'tonka bean', 'tobacco']",vanilla,21730
"['saffron', 'ylang-ylang', 'cardamom', 'geranium', 'leather', 'egyptian jasmine', 'labdanum', 'animal notes', 'patchouli']",animalic,3576
"['pomegranate', 'persimmon', 'green accord', 'black orchid', 'lotus', 'champaca', 'mahogany', 'amber', 'black violet', 'whipped cream']",woody,6522
"['saffron', 'ginger', 'sicilian mandarin', 'sicilian bergamot', 'amberwood', 'moroccan rose', 'egyptian jasmine', 'indonesian patchouli leaf', 'madagascar vanilla', 'white musk', 'sandalwood', 'oakmoss']",warm spicy,14788
"['mandarin orange', 'melon', 'jasmine', 'peach', 'ylang-ylang', 'oakmoss', 'vetiver']",earthy,15934
"['pink pepper', 'pear', 'grapefruit', 'rose', 'peony', 'geranium', 'vanilla', 'musk', 'tonka bean']",rose,1019
"['mandarin orange', 'jasmine', 'ginger', 'lily', 'salt', 'vanilla', 'ambergris', 'sandalwood']",salty,16814
"['rose', 'mimosa', 'hiacynth', 'geranium', 'green notes', 'nasturtium', 'orange blossom', 'hawthorn', 'cassia', 'bergamot', 'rose', 'violet', 'lily', 'lime blossom', 'ylang-ylang', 'lily-of-the-valley', 'jasmine', 'orris root', 'iris', 'musk', 'heliotrope', 'sandalwood', 'oakmoss', 'amber', 'cedar']",floral,7477
