mainaccord1,Gender,mainaccord5,Rating Count,all_notes,mainaccord2,embedding_text,Rating Value,Year,mainaccord4,Brand,embedding_id,Perfume,mainaccord3,t5_description,url
rose,unisex,floral,201,"['fruity notes', 'aldehydes', 'green notes', 'bulgarian rose', 'egyptian jasmine', 'lily-of-the-valley', 'eucalyptus', 'pine']",woody,"Accords: rose, woody, fruity. Notes: fruity notes, aldehydes, green notes, bulgarian rose, egyptian jasmine, lily-of-the-valley, eucalyptus, pine. Profile: It smells like a flower shop at dawn — citrus peel and white flowers mixed with egyptian jasmine, then softens into something earthy and slightly powdery..","1,42",2022.0,aromatic,xerjoff,0,accento-overdose-pride-edition,fruity,"It smells like a flower shop at dawn — citrus peel and white flowers mixed with egyptian jasmine, then softens into something earthy and slightly powdery.",https://www.fragrantica.com/perfume/xerjoff/accento-overdose-pride-edition-74630.html
citrus,women,musky,70,"['yuzu', 'citruses', 'orange blossom', 'neroli', 'musk', 'blonde woods']",white floral,"Accords: citrus, white floral, sweet. Notes: yuzu, citruses, orange blossom, neroli, musk, blonde woods. Profile: It smells like a spice market at dawn — bright citrus peels mixed with orange blossoms, then soft woods and something faintly woody..","1,86",2024.0,fresh,jean-paul-gaultier,1,classique-pride-2024,sweet,"It smells like a spice market at dawn — bright citrus peels mixed with orange blossoms, then soft woods and something faintly woody.",https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2024-90394.html
citrus,unisex,musky,285,"['blood orange', 'yuzu', 'neroli', 'orange blossom', 'musk', 'white woods']",white floral,"Accords: citrus, white floral, sweet. Notes: blood orange, yuzu, neroli, orange blossom, musk, white woods. Profile: It smells like citrus peel and yuzu at first, then soft musk and white flowers, with a woody base..","1,91",2023.0,fresh spicy,jean-paul-gaultier,2,classique-pride-2023,sweet,"It smells like citrus peel and yuzu at first, then soft musk and white flowers, with a woody base.",https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2023-81775.html
fruity,men,none,59,"['guarana', 'grapefruit', 'red apple', 'walnut', 'lavender', 'guava', 'vetiver', 'benzoin', 'amber']",nutty,"Accords: fruity, nutty, woody. Notes: guarana, grapefruit, red apple, walnut, lavender, guava, vetiver, benzoin. Profile: It smells like guarana and citrus peel at first, then white flowers and vanilla, finishing with a warm, slightly leathery base..","1,92",2019.0,tropical,bruno-banani,3,pride-edition-man,woody,"It smells like guarana and citrus peel at first, then white flowers and vanilla, finishing with a warm, slightly leathery base.",https://www.fragrantica.com/perfume/bruno-banani/pride-edition-man-55514.html
aromatic,men,vanilla,632,"['mint', 'lavender', 'cardamom', 'artemisia', 'bergamot', 'caraway', 'cinnamon', 'orange blossom', 'vanilla', 'sandalwood', 'amber', 'cedar', 'tonka bean']",warm spicy,"Accords: aromatic, warm spicy, fresh spicy. Notes: mint, lavender, cardamom, artemisia, bergamot, caraway, cinnamon, orange blossom. Profile: It smells like fresh mint and lavender at first, then creamy vanilla and sweet cardamom, with a hint of spiced wood underneath..","1,93",2020.0,cinnamon,jean-paul-gaultier,4,le-male-pride-collector,fresh spicy,"It smells like fresh mint and lavender at first, then creamy vanilla and sweet cardamom, with a hint of spiced wood underneath.",https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-collector-60765.html
citrus,men,green,531,"['yuzu', 'blood orange', 'neroli', 'orange blossom', 'musk', 'white woods']",white floral,"Accords: citrus, white floral, sweet. Notes: yuzu, blood orange, neroli, orange blossom, musk, white woods. Profile: It smells like citrus peel and orange peel at first, then soft musk and white flowers, with a warm woody base..","1,95",2023.0,fresh spicy,jean-paul-gaultier,5,le-male-pride-2023,sweet,"It smells like citrus peel and orange peel at first, then soft musk and white flowers, with a warm woody base.",https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2023-81774.html
white floral,men,none,285,"['citruses', 'yuzu', 'neroli', 'orange blossom', 'woodsy notes', 'musk']",citrus,"Accords: white floral, citrus, fresh. Notes: citruses, yuzu, neroli, orange blossom, woodsy notes, musk. Profile: It smells like a spice market at dawn — citrus peel and yuzu in the background, with something woody and slightly sweet underneath..","1,95",2024.0,soapy,jean-paul-gaultier,6,le-male-pride-2024,fresh,"It smells like a spice market at dawn — citrus peel and yuzu in the background, with something woody and slightly sweet underneath.",https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2024-90393.html
woody,men,aromatic,107,"['cranberry', 'pink grapefruit', 'citron', 'clary sage', 'lavender', 'saffron', 'amberwood', 'brazilian redwood', 'coffee']",amber,"Accords: woody, amber, citrus. Notes: cranberry, pink grapefruit, citron, clary sage, lavender, saffron, amberwood, brazilian redwood. Profile: It smells like cranberry jam and citrus peel at first, then creamy lavender and sweet vanilla, finishing with a warm, slightly earthy base..","2,05",2020.0,warm spicy,ralph-lauren,7,polo-red-pride-edition,citrus,"It smells like cranberry jam and citrus peel at first, then creamy lavender and sweet vanilla, finishing with a warm, slightly earthy base.",https://www.fragrantica.com/perfume/ralph-lauren/polo-red-pride-edition-62728.html
citrus,women,green,50,"['tangerine', 'green apple', 'freesia', 'magnolia', 'lime (linden blossom)', 'osmanthus', 'musk', 'white iris']",fruity,"Accords: citrus, fruity, floral. Notes: tangerine, green apple, freesia, magnolia, lime (linden blossom), osmanthus, musk, white iris. Profile: It smells like tangerine and green apple at first, then soft white flowers with a hint of powdery musk underneath..","2,12",2020.0,sweet,ralph-lauren,8,ralph-pride-edition,floral,"It smells like tangerine and green apple at first, then soft white flowers with a hint of powdery musk underneath.",https://www.fragrantica.com/perfume/ralph-lauren/ralph-pride-edition-62727.html
powdery,women,fresh,27,"['strawberry', 'almond', 'raspberry', 'butter', 'peach blossom', 'violet', 'praline', 'vanilla', 'musk']",musky,"Accords: powdery, musky, violet. Notes: strawberry, almond, raspberry, butter, peach blossom, violet, praline, vanilla. Profile: It smells like ripe strawberries and almonds at first, then soft vanilla and powdery vanilla, finishing with a warm vanilla-vanilla base..","2,41",2023.0,fruity,we-pink,9,waffle,violet,"It smells like ripe strawberries and almonds at first, then soft vanilla and powdery vanilla, finishing with a warm vanilla-vanilla base.",https://www.fragrantica.com/perfume/we-pink/waffle-93845.html
citrus,men,musky,662,"['blood orange', 'yuzu', 'neroli', 'orange blossom', 'musk', 'white woods']",white floral,"Accords: citrus, white floral, fresh spicy. Notes: blood orange, yuzu, neroli, orange blossom, musk, white woods. Profile: It smells like citrus peel and yuzu at first, then soft musk and white flowers, with a woody base..","2,53",2022.0,sweet,jean-paul-gaultier,10,le-male-pride-edition,fresh spicy,"It smells like citrus peel and yuzu at first, then soft musk and white flowers, with a woody base.",https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-edition-73607.html
leather,unisex,metallic,26,"['saffron', 'bulgarian rose', 'australian sandalwood', 'iris', 'jasmine', 'suede', 'bourbon vanilla', 'texas cedar']",warm spicy,"Accords: leather, warm spicy, rose. Notes: saffron, bulgarian rose, australian sandalwood, iris, jasmine, suede, bourbon vanilla, texas cedar. Profile: It smells like a leather jacket left in an old wooden cabinet — sweet saffron and rose petals mixed with white flowers, then settles into something soft and slightly earthy..","2,62",2023.0,powdery,vivamor-parfums,11,rouge-imperiale,rose,"It smells like a leather jacket left in an old wooden cabinet — sweet saffron and rose petals mixed with white flowers, then settles into something soft and slightly earthy.",https://www.fragrantica.com/perfume/vivamor-parfums/rouge-imperiale-81650.html
