embedding_id,all_notes,mainaccord1,target_description
6646,"['lavender', 'martini', 'bergamot', 'mandarin orange', 'palisander rosewood', 'patchouli', 'orchid', 'narcissus', 'musk', 'woodsy notes', 'cedar', 'white amber']",musky,"It smells like lavender and citrus peel at first, then powdery flowers with a dry, woody base that's slightly musky and warm."
7368,"['citruses', 'incense', 'rose', 'sandalwood', 'leather', 'vanilla', 'musk']",smoky,"It smells like rose and smoky incense at first, then warm leather and sandalwood, with a soft vanilla-musk sweetness underneath."
10945,"['floral notes', 'rose', 'coffee', 'vanila', 'white musk', 'amber']",rose,"It smells like fresh roses dunked in sweet coffee, with vanilla cream and a soft, powdery warmth underneath."
1526,"['white peach', 'sicilian mandarin', 'ylang-ylang', 'jasmine', 'benzoin', 'cedar']",yellow floral,"It smells like sweet peach and bright citrus at first, then creamy white flowers take over, settling into soft wood and warm vanilla-like resin."
9672,"['lavender', 'mandarin orange', 'black currant', 'petitgrain', 'lavender', 'orange blossom', 'jasmine', 'madagascar vanilla', 'musk', 'cedar', 'ambergris']",white floral,"It smells like lavender soap with sweet orange peel, white flowers underneath, and a soft vanilla-musk base with pale wood."
17498,"['mandarin orange', 'neroli', 'bergamot', 'star anise', 'olive blossom', 'tarragon', 'tonka bean', 'tobacco', 'guaiac wood', 'cedar']",anis,"It smells like bright citrus peel and white flowers at first, then warm licorice spice, finishing with sweet tobacco and dry woods underneath."
2412,"['neroli', 'orange blossom', 'grapefruit', 'jasmine', 'rose', 'tuberose', 'musk', 'sandalwood', 'orris root', 'amber', 'vanilla']",white floral,"It smells like white flowers and citrus peel at first, then settles into creamy vanilla and soft wood with a clean, slightly powdery warmth."
14733,"['sicilian mandarin', 'pink peony', 'damask rose', 'apricot', 'peach', 'white musk']",floral,"It smells like fresh peach and apricot with rose petals, soft citrus peel, and a clean powdery finish."
21017,"['almond', 'spices', 'lavender', 'bergamot', 'thyme', 'rosemary', 'cherry', 'vanilla', 'incense', 'bulgarian rose', 'leather', 'tonka bean', 'sandalwood']",sweet,"It smells like sweet almond and cherry with aromatic herbs, then smoky incense and rose, settling into smooth vanilla and leather."
17248,"['tea', 'artemisia', 'bergamot', 'orange blossom', 'bitter orange', 'pepper', 'cardamom', 'coriander', 'musk', 'woody notes', 'jasmine', 'amber', 'rose']",fresh spicy,"It smells like Earl Grey tea with bitter citrus peels, white flowers drifting through, and warm spices that settle into soft wood and amber."
21088,"['hazelnut', 'bergamot', 'cannabis', 'lemon', 'cacao', 'walnut', 'cinnamon', 'caramel', 'tobacco', 'pimento', 'rum', 'brazil nut', 'vanilla pod', 'macadamia', 'benzoin', 'cashew', 'peru balsam', 'myrrh', 'woody notes', 'labdanum', 'leather']",nutty,"It smells like roasted nuts and warm spices, with dark caramel sweetness, aged tobacco, and a resinous leather base that's slightly medicinal."
20702,"['apple', 'ginger', 'bergamot', 'sage', 'juniper berries', 'geranium', 'amberwood', 'tonka bean', 'cedar', 'vetiver', 'olibanum']",aromatic,"It smells like crisp apple and sharp ginger at first, then woody herbs and resinous incense, with a warm, slightly sweet and earthy base."
5235,"['tincture of rose', 'freesia', 'litchi', 'raspberry', 'lily-of-the-valley', 'jasmine', 'lilac', 'peony', 'lily', 'musk', 'patchouli']",white floral,"It smells like sweet berries and tropical lychee mixed with soapy white flowers, then settles into something powdery and faintly earthy."
11774,"['citruses', 'bergamot', 'lemon', 'cedar', 'mandarin orange', 'iris', 'patchouli', 'vetiver', 'jasmine', 'rose', 'vanilla', 'incense', 'leather', 'opoponax', 'civet', 'sandalwood', 'tonka bean', 'musk']",citrus,"It smells like bright citrus peel and clean wood at first, then creamy florals fade into smoky leather, sweet vanilla, and powdery musk."
9039,"['agarwood (oud)', 'aldehydes', 'bergamot', 'amber', 'rose', 'civetta', 'leather', 'patchouli', 'musk']",animalic,"It smells like dark leather and smoky wood, with powdery rose and something musky-animalic that feels almost sweaty, finished with bitter citrus and warm amber."
2512,"['peach', 'rose', 'apricot blossom', 'lilac', 'pineapple', 'lily-of-the-valley', 'bergamot', 'rose', 'iris', 'heliotrope', 'jasmine', 'peach', 'apricot', 'vanilla', 'sandalwood', 'amber', 'musk']",fruity,"It smells like sweet peach nectar and powdery flowers, with a creamy vanilla-sandalwood base that feels soft and slightly warm."
5749,"['lotus', 'melon', 'freesia', 'rose water', 'rose', 'calone', 'cyclamen', 'lily-of-the-valley', 'lily', 'water peony', 'carnation', 'musk', 'tuberose', 'exotic woods', 'osmanthus', 'cedar', 'sandalwood', 'amber']",floral,"It smells like fresh-cut flowers floating in soapy water, with soft melon sweetness and a clean, powdery musk base."
