embedding_id,all_notes,mainaccord1,target_description
20441,"['incense', 'black pepper', 'olibanum', 'birch', 'licorice', 'leather', 'pepperwood or hercules club', 'cedar', 'vetiver']",smoky,"It smells like the inside of an old wooden church mixed with black licorice and worn leather boots, with something sharp and peppery cutting through the smoky air."
9669,"['green notes', 'bulgarian rose', 'saffron', 'patchouli', 'cedar', 'tobacco', 'musk', 'vanilla']",tobacco,"It smells like sharp grass and rose petals at first, then settles into earthy wood, cigarette-sweetened tobacco, and soft vanilla."
9365,"['aldehydes', 'green notes', 'honeysuckle', 'bergamot', 'peach', 'lemon', 'rose', 'iris', 'geranium', 'ylang-ylang', 'lily-of-the-valley', 'jasmine', 'magnolia', 'gardenia', 'oakmoss', 'tahitian vetiver', 'musk', 'sandalwood', 'tonka bean', 'amber']",aldehydic,"It smells like soapy white flowers and sweet fruit at first, then settles into powdery rose with a warm, slightly mossy base."
17093,"['lavender', 'citruses', 'cappuccino', 'cedar', 'vanilla']",coffee,"It smells like lavender and citrus peel over creamy coffee, with sweet vanilla and dry cedarwood underneath."
19635,"['grass', 'bergamot', 'grapefruit', 'woodsy notes', 'nutmeg', 'violet', 'saffron', 'jasmine', 'sugar', 'leather', 'vanilla', 'suede', 'amber', 'cashmirwood', 'sandalwood', 'oakmoss', 'vetiver']",leather,"It smells like a leather jacket draped over a park bench after rain, with sweet spice lingering in the air and something mossy clinging to the worn fabric."
19538,"['lemon', 'bergamot', 'neroli', 'rose de mai', 'hyacinth', 'cedar', 'clary sage', 'geranium', 'tonka bean', 'musk', 'amber']",citrus,"It smells like fresh citrus and herbs at first, then soft flowers and wood, finishing with a warm, slightly sweet powder."
14732,"['italian mandarin', 'rose', 'egyptian jasmine', 'patchouli', 'musk']",patchouli,"It smells like fresh citrus peel and powdered rose petals, then creamy white flowers with an earthy, slightly musty undertone."
11818,"['mineral notes', 'pink pepper', 'lotus', 'syringa', 'hinoki wood', 'white amber']",mineral,"It smells like standing in a Japanese bathhouse at dawn — clean stone tiles still cool from the night, faint wisps of steam carrying woody cypress, and the pale sweetness of flowers just beginning to open outside."
15364,"['lime', 'lemon', 'bergamot', 'jasmine', 'orange', 'mandarin orange', 'neroli', 'sea notes', 'jasmine', 'calone', 'rosemary', 'peach', 'freesia', 'hiacynth', 'cyclamen', 'violet', 'coriander', 'rose', 'nutmeg', 'mignonette', 'white musk', 'cedar', 'oakmoss', 'patchouli', 'amber']",citrus,"It smells like citrus peel and salty ocean air at first, then white flowers and peach, settling into soft musk and weathered wood."
632,"['smoke', 'camphor', 'mimosa', 'anise', 'cedar', 'ambrette (musk mallow)', 'juniper']",anis,"It smells like a campfire at a botanical garden — medicinal eucalyptus smoke mixed with the honeyed sweetness of yellow mimosa flowers, finishing with black licorice and pencil-case wood."
7448,"['coconut water', 'bergamot', 'jasmine', 'heliotrope', 'bourbon vanilla', 'cashmeran']",vanilla,"It smells like creamy coconut and vanilla with bright citrus on top, then a powdery almond-like sweetness and soft white flowers."
12519,"['animal notes', 'woody notes', 'violet', 'leather', 'incense', 'cade oil', 'labdanum', 'cedar', 'patchouli', 'vanilla']",animalic,"It smells like a worn leather jacket hanging in a closet next to burning church incense, with hints of violet potpourri and sweet resin tucked into the pockets."
14788,"['saffron', 'ginger', 'sicilian mandarin', 'sicilian bergamot', 'amberwood', 'moroccan rose', 'egyptian jasmine', 'indonesian patchouli leaf', 'madagascar vanilla', 'white musk', 'sandalwood', 'oakmoss']",warm spicy,"It smells like warm spices and citrus peel at first, then creamy florals with a rich, woody-sweet base of amber and vanilla."
14556,"['neroli', 'pink pepper', 'bergamot', 'coffee', 'rose', 'hazelnut', 'orange blossom', 'jasmine', 'vanilla', 'amberwood', 'ambroxan', 'musk']",coffee,"It smells like strong coffee and toasted hazelnuts at first, then white flowers emerge with a creamy vanilla sweetness and warm, slightly powdery musk underneath."
2511,"['black currant', 'pear', 'iris', 'jasmine', 'orange blossom', 'praline', 'vanilla', 'patchouli', 'tonka bean']",sweet,"It smells like sweet powder and creamy vanilla with tart berries, white flowers blooming underneath, and a warm, slightly earthy base."
13804,"['lavender', 'bergamot', 'iris', 'jasmine sambac', 'rose', 'tahitian vanilla', 'coumarin', 'australian sandalwood', 'licorice', 'benzoin', 'patchouli']",vanilla,"It smells like lavender soap and powdered iris at first, then creamy vanilla and rose, with a sweet licorice-like warmth and soft, woody undertones."
18867,"['bergamot', 'juniper', 'coriander', 'iris', 'cardamom', 'pepper', 'amber', 'cedar', 'vetiver']",iris,"It smells like gin spilled on a wooden desk in a library — sharp citrus and herbs giving way to dusty paper, pencil wood, and something quietly spicy lingering in the air."
8913,"['wasabi', 'violet leaf', 'mandarin orange', 'pear', 'pebbles', 'hedione', 'orris root', 'peony', 'rose', 'vetiver', 'white musk', 'incense', 'sandalwood']",mineral,"It smells like fresh-cut pear and mandarin at first, then powdery iris and soft roses, finishing with clean musk and pale sandalwood."
19832,"['artemisia', 'basil', 'tangerine', 'bergamot', 'amalfi lemon', 'white honey', 'rose', 'jasmine', 'peach', 'pepper', 'civetta', 'oak moss', 'leather', 'patchouli', 'woodsy notes', 'virginia cedar']",animalic,"It smells like bitter herbs and citrus peel at first, then creamy honey with soft flowers, finishing with worn leather and earthy moss."
20652,"['cognac', 'cinnamon', 'tonka bean', 'oak', 'vanilla', 'praline', 'sandalwood']",woody,"It smells like the wooden bar of an old-fashioned cocktail lounge — polished oak mingling with spilled brandy, brown sugar syrup, and lingering cigar box sweetness."
16776,"['oakmoss', 'water notes', 'water pepper', 'heather', 'violet', 'beech', 'blackberry', 'water notes', 'portulaca or pigweed']",mossy,"It smells like wet tree bark after rain, with a hint of crushed berries and the slightly metallic scent of a cold stream running through wild heather."
2861,"['coconut', 'fig', 'vanilla flower', 'coconut', 'milk', 'wheat', 'sugar', 'coconut milk', 'fig leaf', 'vanilla']",lactonic,"It smells like a bowl of sweetened cereal with coconut milk poured over it, sitting next to a just-cut fig on a summer morning."
19041,"['leather', 'bergamot', 'amalfi lemon', 'holly', 'rosemary', 'tea', 'styrax', 'lily-of-the-valley', 'tonka bean', 'incense', 'benzoin', 'almond', 'amber']",amber,"It smells like a leather jacket draped over a church pew, with citrus oil on your fingers and a faint almond sweetness lingering in the air."
16570,"['apple', 'honeycomb', 'bergamot', 'honey', 'jasmine', 'mahonial', 'rose', 'tonka bean', 'heliotrope', 'musk', 'hawthorn']",honey,"It smells like a florist's workbench covered in apple peels and drizzled honey, with that powdery-sweet scent of almond cookies baking somewhere in the back room."
6829,"['cucumber', 'citruses', 'green tea', 'watermelon', 'french violet', 'ambrette (musk mallow)', 'amber']",ozonic,"It smells like a crisp salad bar next to a fruit stand on a sunny morning, with a hint of powdery violet petals scattered on top."
12160,"['sea notes', 'red fruits', 'bergamot', 'violet', 'white woods', 'sandalwood', 'musk', 'ambroxan', 'vetiver']",marine,"It smells like standing on a sailboat at dawn — salt air mixing with berry jam on toast, trailing into clean laundry hung near driftwood."
15966,"['petitgrain', 'neroli', 'chamomile', 'basil']",herbal,"It smells like crushed herbs from a summer garden mixed with orange blossoms, slightly medicinal and green, like a calming tea someone spilled on their wrists."
2450,"['lemon', 'bergamot', 'neroli', 'lime (linden) blossom', 'pear', 'ylang-ylang', 'musk', 'sandalwood']",yellow floral,"It smells like fresh citrus peel and white flowers at first, then settles into something creamy and woody with a soft, clean sweetness."
9094,"['coconut nectar', 'neroli', 'bergamot', 'mandarin orange', 'monoi oil', 'ylang-ylang', 'orange blossom', 'jasmine', 'coconut milk', 'musk', 'ambrette (musk mallow)']",coconut,"It smells like creamy coconut and sweet tropical flowers, with bright citrus on top and a soft, clean musk underneath."
